wafer	sensor_t1	sensor_t2	sensor_t3	sensor_t4	sensor_t5	sensor_t6	sensor_t7	sensor_t8	sensor_t9	sensor_t10	sensor_p1	sensor_p2	sensor_p3	sensor_p4	sensor_p5	sensor_p6	sensor_p7	sensor_p8	sensor_p9	sensor_p10	GB
25	1024	1028	1025	1022	1025	1027	1026	1028	1025	1020	117	118	119	118	119	122	121	122	119	119	G
26	1026	1028	1027	1022	1025	1028	1023	1027	1023	1020	118	119	121	122	121	122	121	121	121	120	G
27	1023	1027	1027	1026	1027	1023	1024	1026	1023	1025	117	119	120	122	120	118	120	121	120	119	G
28	1023	1024	1027	1023	1028	1028	1024	1023	1024	1025	117	117	119	118	121	120	120	121	120	118	G
29	1022	1026	1027	1028	1028	1028	1027	1022	1024	1020	118	119	120	119	121	119	122	121	119	120	G
30	1024	1023	1027	1024	1025	1022	1024	1028	1027	1026	118	119	119	118	121	119	121	122	121	120	G
31	1022	1027	1023	1028	1026	1026	1025	1025	1027	1024	118	117	120	119	121	121	120	122	119	122	G
32	1025	1026	1026	1025	1028	1022	1025	1023	1024	1021	119	118	119	118	121	120	121	121	120	121	G
33	1026	1028	1027	1027	1024	1023	1026	1027	1027	1020	117	117	121	122	119	119	121	121	119	121	G
34	1023	1027	1024	1024	1025	1023	1024	1028	1025	1024	119	119	120	122	121	118	120	122	121	120	G
35	1026	1024	1023	1022	1024	1025	1027	1024	1024	1022	119	119	119	120	121	120	122	121	120	122	G
36	1026	1024	1026	1028	1028	1025	1023	1023	1024	1021	117	117	120	122	119	122	122	121	120	121	G
37	1023	1024	1023	1026	1026	1024	1026	1024	1025	1023	118	118	121	122	121	120	121	121	121	121	G
38	1022	1023	1027	1022	1027	1022	1023	1023	1027	1026	117	117	121	122	120	119	120	121	120	119	G
39	1024	1028	1024	1024	1025	1024	1023	1023	1024	1021	119	119	120	119	119	120	121	122	121	121	G
40	1024	1025	1024	1022	1026	1022	1027	1026	1026	1024	118	117	120	122	120	121	120	121	120	122	G
41	1026	1025	1023	1027	1027	1028	1027	1024	1026	1022	119	118	119	119	121	118	121	121	119	122	G
42	1024	1024	1025	1025	1026	1025	1026	1024	1023	1023	119	117	119	121	120	120	120	121	119	120	G
43	1025	1027	1026	1024	1026	1026	1026	1022	1026	1025	119	117	119	118	120	118	120	121	119	120	G
44	1025	1028	1024	1025	1027	1025	1026	1027	1024	1022	117	118	120	120	119	121	121	122	119	118	G
45	1023	1024	1025	1025	1025	1023	1024	1026	1024	1025	118	118	120	118	119	118	122	121	120	120	G
46	1026	1026	1024	1024	1026	1024	1026	1022	1023	1026	117	118	119	121	121	121	121	122	121	118	G
47	1024	1025	1024	1027	1025	1026	1024	1025	1024	1026	119	117	120	120	121	118	120	122	120	121	G
48	1024	1027	1024	1024	1025	1023	1026	1025	1024	1022	117	117	120	119	121	121	120	122	121	122	G
49	1023	1026	1023	1027	1028	1023	1027	1027	1026	1025	119	117	121	121	121	119	122	121	121	118	G
50	1025	1026	1024	1026	1024	1025	1025	1024	1027	1025	118	118	119	118	121	119	121	122	120	122	G
51	1022	1027	1026	1022	1026	1024	1026	1024	1027	1021	118	118	121	120	119	122	122	121	120	118	G
52	1025	1022	1027	1023	1024	1028	1024	1023	1025	1021	118	119	120	121	121	122	122	121	120	122	G
53	1023	1025	1024	1023	1025	1023	1023	1024	1026	1026	117	119	119	122	121	120	122	122	121	118	G
54	1022	1027	1023	1027	1025	1025	1027	1022	1027	1021	117	119	120	121	120	119	122	122	119	118	G
55	1024	1027	1023	1026	1028	1027	1024	1028	1024	1022	118	118	119	120	121	119	122	122	120	119	G
56	1025	1022	1026	1028	1028	1028	1024	1022	1026	1020	119	119	120	122	120	120	121	121	119	118	G
57	1025	1022	1024	1022	1027	1028	1027	1025	1024	1026	117	118	119	119	119	119	120	121	120	122	G
58	1022	1023	1026	1022	1025	1025	1027	1028	1025	1021	117	117	121	121	121	120	121	121	120	121	G
59	1022	1028	1026	1025	1025	1028	1027	1025	1024	1024	118	118	119	119	120	122	120	121	121	119	G
60	1022	1022	1026	1022	1024	1025	1024	1024	1027	1020	118	119	120	120	121	119	120	122	121	121	G
61	1025	1028	1026	1027	1024	1024	1025	1022	1025	1021	118	117	121	119	119	121	121	121	120	119	G
62	1022	1026	1023	1026	1025	1025	1023	1023	1027	1021	118	117	119	122	120	120	122	121	120	120	G
63	1023	1027	1026	1027	1027	1028	1026	1022	1027	1026	117	118	121	121	120	121	122	122	120	118	G
64	1022	1024	1027	1023	1025	1027	1024	1028	1025	1023	118	117	119	121	120	122	122	122	120	122	G
65	1024	1028	1027	1022	1025	1027	1025	1026	1026	1026	119	119	119	120	119	118	120	122	119	118	G
66	1025	1028	1024	1025	1024	1027	1026	1022	1023	1020	118	118	119	120	121	119	122	121	120	120	G
67	1023	1022	1025	1027	1028	1022	1025	1022	1027	1023	118	119	120	120	120	120	122	122	121	119	G
68	1022	1027	1027	1025	1027	1028	1027	1023	1025	1022	117	117	119	120	121	121	121	121	120	118	G
69	1024	1028	1027	1024	1027	1022	1025	1027	1023	1021	118	117	119	120	120	122	120	121	121	122	G
70	1025	1024	1026	1025	1028	1024	1024	1026	1026	1021	117	119	121	120	120	122	120	121	121	120	G
71	1022	1028	1026	1027	1027	1025	1024	1022	1024	1022	119	117	121	122	121	122	121	122	121	118	G
72	1024	1027	1025	1026	1027	1028	1023	1023	1023	1025	117	117	120	118	119	121	121	122	119	120	G
73	1026	1026	1024	1028	1026	1028	1026	1024	1027	1021	118	119	119	118	119	121	120	121	121	122	G
74	1026	1027	1025	1028	1026	1022	1023	1024	1027	1023	117	119	120	121	121	121	122	121	119	121	G
75	1024	1023	1027	1026	1028	1028	1023	1023	1025	1021	117	117	121	122	120	118	122	122	120	121	G
76	1024	1028	1026	1023	1027	1025	1027	1027	1025	1020	119	117	121	119	121	120	120	121	121	119	G
77	1025	1022	1024	1023	1025	1025	1025	1028	1024	1021	119	117	119	120	119	120	120	122	119	119	G
78	1023	1023	1027	1024	1026	1023	1026	1027	1023	1024	117	119	119	122	120	119	122	121	121	119	G
79	1026	1025	1026	1027	1028	1022	1027	1026	1026	1022	119	118	121	119	119	119	122	121	121	121	G
80	1025	1022	1026	1027	1024	1028	1027	1023	1023	1026	117	118	120	120	120	119	120	121	120	122	G
81	1022	1025	1025	1025	1026	1027	1026	1022	1026	1020	117	119	120	119	120	122	121	121	120	122	G
82	1022	1026	1027	1023	1026	1025	1027	1023	1023	1022	119	117	120	119	119	120	120	121	121	121	G
83	1022	1027	1027	1023	1026	1027	1024	1028	1026	1026	118	118	121	121	119	118	121	121	119	122	G
84	1023	1028	1025	1024	1028	1022	1026	1022	1026	1023	118	118	121	120	119	120	120	122	120	118	G
85	1026	1022	1023	1022	1025	1028	1024	1026	1027	1024	119	117	121	120	121	119	122	121	119	120	G
86	1025	1028	1026	1024	1028	1026	1024	1025	1027	1020	119	117	121	119	119	122	121	121	119	118	G
87	1025	1026	1027	1025	1027	1027	1026	1027	1024	1024	119	119	119	118	120	121	121	121	120	119	G
88	1023	1022	1026	1023	1025	1024	1027	1022	1027	1022	118	119	121	118	121	120	122	121	119	121	G
89	1023	1028	1024	1026	1024	1022	1023	1022	1024	1025	117	118	121	120	121	119	122	121	121	118	G
90	1024	1022	1026	1028	1024	1022	1023	1022	1025	1024	117	118	121	118	121	121	122	121	120	120	G
91	1023	1027	1023	1026	1025	1024	1027	1026	1023	1024	118	118	120	118	119	119	121	122	119	119	G
92	1022	1026	1025	1027	1027	1025	1027	1023	1026	1025	117	119	121	119	121	118	121	121	119	121	G
93	1023	1026	1024	1023	1024	1028	1023	1024	1027	1025	117	119	121	122	120	122	121	121	119	121	G
94	1025	1024	1023	1022	1026	1028	1025	1027	1026	1020	119	119	119	120	121	122	120	122	119	118	G
95	1026	1026	1024	1028	1026	1026	1025	1025	1025	1020	118	118	121	118	120	120	121	121	119	121	G
96	1025	1027	1027	1027	1027	1023	1024	1024	1026	1026	117	118	121	120	119	121	120	121	121	119	G
97	1026	1024	1023	1027	1028	1025	1024	1022	1027	1024	117	118	121	118	121	122	122	122	120	120	G
98	1024	1025	1025	1026	1027	1026	1025	1023	1026	1025	119	117	120	122	119	122	121	122	120	121	G
99	1024	1027	1026	1025	1026	1023	1024	1027	1023	1025	119	118	119	119	119	120	122	121	121	119	G
100	1026	1023	1026	1024	1024	1023	1026	1024	1027	1024	118	118	119	118	121	120	121	122	120	121	G
101	1022	1022	1026	1025	1025	1027	1023	1022	1025	1022	117	118	120	121	120	119	121	122	119	120	G
102	1022	1022	1024	1027	1028	1026	1023	1026	1026	1020	118	117	119	121	121	119	121	121	120	120	G
103	1024	1024	1025	1026	1028	1025	1023	1025	1024	1020	119	119	121	119	121	120	120	121	121	121	G
104	1025	1027	1027	1028	1025	1028	1024	1022	1024	1024	117	117	119	122	120	121	121	121	119	122	G
105	1026	1022	1027	1023	1024	1026	1024	1022	1023	1022	118	117	119	119	121	122	120	121	119	121	G
106	1026	1027	1027	1024	1028	1022	1027	1023	1027	1026	118	117	119	121	121	120	121	122	119	122	G
107	1024	1024	1024	1023	1026	1023	1023	1026	1027	1025	119	118	120	119	120	121	122	122	120	121	G
108	1022	1026	1025	1024	1026	1023	1023	1025	1026	1025	119	118	119	122	120	121	121	121	121	122	G
109	1024	1022	1027	1026	1028	1022	1026	1025	1023	1026	118	117	120	118	121	118	121	122	119	122	G
110	1022	1025	1026	1027	1026	1022	1024	1026	1027	1020	119	118	121	118	119	119	121	122	120	118	G
111	1025	1026	1024	1022	1026	1023	1025	1023	1024	1025	117	118	120	120	120	122	122	121	120	121	G
112	1026	1028	1027	1028	1028	1027	1023	1024	1025	1020	117	117	120	118	120	121	121	121	119	118	G
113	1022	1025	1024	1027	1024	1025	1023	1023	1026	1022	118	119	119	118	119	118	121	122	120	122	G
114	1024	1024	1025	1024	1026	1025	1025	1022	1025	1023	118	119	121	119	119	120	121	122	120	121	G
115	1022	1026	1024	1026	1028	1026	1026	1026	1026	1021	117	117	120	122	120	122	121	121	121	118	G
116	1023	1027	1025	1026	1028	1028	1026	1024	1025	1025	119	118	120	122	120	122	120	122	121	120	G
117	1024	1027	1024	1027	1026	1023	1025	1022	1027	1020	117	118	119	122	120	122	121	121	120	119	G
118	1024	1027	1025	1023	1026	1024	1025	1027	1025	1020	118	117	119	120	119	118	121	122	121	119	G
119	1022	1028	1023	1027	1027	1027	1023	1028	1024	1023	118	119	120	121	120	118	122	121	120	122	G
120	1026	1023	1024	1024	1026	1024	1027	1026	1025	1024	118	118	120	120	120	121	120	121	121	121	G
121	1025	1022	1026	1022	1026	1027	1027	1023	1024	1024	118	117	121	118	119	118	122	122	119	122	G
122	1024	1024	1025	1025	1026	1027	1023	1022	1025	1024	119	118	119	119	121	121	120	122	119	118	G
123	1024	1025	1023	1022	1027	1022	1024	1025	1027	1025	117	119	119	119	121	120	120	122	119	120	G
124	1023	1026	1025	1027	1027	1026	1024	1025	1024	1025	118	118	120	119	121	121	120	122	119	121	G
125	1023	1024	1023	1023	1024	1027	1023	1022	1027	1023	118	119	119	118	119	118	122	122	120	119	G
126	1024	1023	1026	1023	1024	1024	1025	1023	1027	1026	118	118	120	122	121	120	122	122	119	118	G
127	1022	1027	1025	1025	1024	1028	1024	1027	1023	1022	119	117	119	122	120	120	121	121	119	118	G
128	1026	1025	1026	1027	1028	1028	1023	1023	1026	1023	117	119	120	120	120	118	121	122	121	122	G
129	1022	1026	1025	1027	1028	1027	1027	1026	1025	1024	119	117	120	118	120	120	122	122	121	120	G
130	1023	1024	1023	1028	1026	1023	1027	1024	1026	1026	117	119	119	121	120	119	120	121	120	122	G
131	1025	1022	1024	1026	1028	1026	1025	1025	1026	1023	117	118	119	121	119	120	122	122	120	120	G
132	1026	1023	1027	1027	1028	1024	1025	1024	1027	1022	118	117	121	121	120	120	122	121	121	118	G
133	1023	1025	1026	1025	1024	1028	1025	1025	1027	1023	119	119	121	119	119	119	120	122	121	118	G
134	1025	1026	1026	1028	1024	1027	1026	1022	1027	1025	118	117	119	122	121	120	120	121	121	121	G
135	1024	1026	1026	1027	1026	1025	1025	1027	1025	1023	119	119	120	120	121	118	122	121	120	118	G
136	1022	1023	1026	1023	1024	1024	1027	1028	1026	1021	117	118	120	120	121	122	120	122	119	121	G
137	1024	1027	1027	1027	1028	1023	1027	1024	1027	1020	117	118	121	120	120	119	120	122	120	119	G
138	1024	1027	1024	1028	1028	1025	1024	1023	1024	1020	118	117	119	122	121	121	120	121	121	119	G
139	1025	1025	1027	1028	1024	1022	1023	1025	1026	1022	118	118	120	122	119	121	121	121	120	119	G
140	1025	1025	1026	1025	1024	1023	1023	1022	1026	1024	118	117	121	119	119	121	122	122	120	119	G
141	1026	1028	1026	1024	1028	1028	1027	1028	1023	1023	119	118	119	121	120	121	120	122	119	118	G
142	1023	1022	1027	1025	1028	1022	1025	1022	1027	1024	117	118	119	119	121	122	121	122	119	120	G
143	1025	1026	1023	1023	1025	1024	1025	1024	1026	1023	117	117	120	118	120	119	121	121	119	119	G
144	1024	1023	1027	1023	1028	1024	1025	1027	1023	1025	118	117	120	122	120	118	122	121	120	122	G
145	1024	1026	1024	1023	1026	1025	1025	1023	1027	1026	117	119	119	121	119	120	121	122	121	120	G
146	1023	1028	1027	1027	1028	1026	1025	1026	1027	1024	117	119	119	120	121	122	122	121	119	122	G
147	1022	1023	1025	1028	1025	1025	1024	1028	1025	1020	117	117	120	120	121	121	122	121	121	121	G
148	1023	1024	1023	1024	1028	1026	1023	1028	1024	1025	117	118	119	120	120	121	120	122	121	122	G
149	1023	1025	1025	1023	1028	1026	1023	1027	1025	1020	119	117	120	119	121	122	120	122	121	118	G
150	1022	1022	1027	1022	1025	1023	1027	1024	1025	1025	118	118	121	118	120	122	121	121	119	122	G
151	1026	1026	1024	1027	1028	1027	1024	1023	1026	1026	119	117	120	122	121	120	120	121	120	120	G
152	1026	1023	1026	1025	1028	1024	1026	1028	1027	1023	117	117	121	121	121	121	122	122	120	120	G
153	1025	1025	1025	1025	1024	1028	1023	1024	1027	1020	119	117	121	122	119	120	120	121	121	122	G
154	1022	1027	1023	1026	1028	1027	1023	1022	1026	1020	118	118	119	120	119	121	121	121	121	120	G
155	1026	1027	1024	1025	1026	1027	1027	1025	1027	1022	118	118	120	121	119	119	121	122	120	120	G
156	1022	1027	1027	1027	1025	1023	1026	1023	1026	1021	119	118	120	122	119	119	122	122	120	120	G
157	1025	1027	1026	1026	1026	1023	1026	1026	1023	1020	119	118	119	118	121	119	122	122	119	118	G
158	1022	1023	1026	1027	1026	1023	1024	1027	1025	1021	118	118	120	118	119	119	122	121	119	120	G
159	1022	1028	1026	1024	1024	1022	1025	1026	1026	1022	119	117	120	119	120	122	122	121	120	118	G
160	1024	1025	1024	1028	1028	1022	1023	1024	1026	1024	119	117	120	122	119	121	122	122	120	118	G
161	1022	1027	1024	1026	1025	1028	1024	1027	1024	1025	118	117	120	121	120	120	120	121	119	121	G
162	1026	1025	1025	1024	1026	1024	1025	1028	1024	1025	118	119	121	121	119	120	122	121	120	118	G
163	1025	1023	1027	1028	1026	1026	1026	1025	1025	1022	119	119	120	118	119	118	122	121	120	122	G
164	1025	1024	1027	1027	1025	1027	1023	1026	1027	1020	118	117	119	118	119	118	120	121	121	120	G
165	1022	1024	1025	1027	1024	1028	1024	1022	1027	1020	117	119	120	120	120	122	120	122	120	121	G
166	1026	1022	1024	1023	1027	1028	1024	1028	1027	1020	117	118	120	121	119	121	122	122	121	120	G
167	1022	1028	1025	1027	1026	1023	1026	1022	1023	1022	118	119	119	120	119	118	122	122	119	119	G
168	1026	1026	1026	1024	1026	1028	1026	1022	1023	1022	119	117	119	119	121	119	121	122	119	120	G
169	1022	1023	1025	1027	1026	1024	1024	1024	1027	1020	118	119	119	120	121	120	121	121	119	122	G
170	1023	1026	1026	1023	1028	1024	1026	1027	1026	1026	119	117	120	120	121	118	121	121	120	121	G
171	1022	1022	1024	1027	1026	1024	1025	1024	1025	1025	119	119	120	120	121	122	120	122	121	118	G
172	1026	1024	1025	1027	1025	1027	1023	1024	1025	1020	119	119	119	121	121	119	122	122	119	122	G
173	1023	1028	1025	1025	1026	1025	1024	1028	1026	1021	118	119	119	120	121	120	122	122	119	122	G
174	1026	1023	1025	1023	1024	1027	1027	1022	1023	1026	118	119	119	120	119	121	120	122	120	122	G
175	1026	1026	1026	1023	1028	1025	1026	1022	1026	1025	118	118	119	122	120	118	120	122	121	122	G
176	1026	1024	1027	1022	1024	1025	1023	1022	1027	1020	117	118	121	118	121	120	120	122	120	119	G
177	1025	1026	1026	1028	1026	1028	1023	1024	1024	1022	119	118	120	118	121	118	120	122	120	118	G
178	1022	1028	1023	1022	1025	1025	1024	1024	1023	1021	119	117	121	122	120	121	121	121	120	121	G
179	1026	1026	1023	1023	1028	1023	1025	1024	1023	1025	117	117	120	122	121	120	120	121	119	120	G
180	1022	1026	1024	1027	1026	1024	1024	1024	1026	1021	119	118	121	122	121	120	121	122	120	118	G
181	1024	1022	1024	1025	1025	1027	1025	1023	1027	1020	117	119	120	122	119	118	121	121	119	122	G
182	1024	1022	1027	1024	1028	1024	1025	1025	1023	1025	119	118	120	120	120	120	122	122	119	120	G
183	1026	1027	1023	1028	1027	1024	1023	1027	1024	1020	119	118	119	118	119	121	120	122	121	120	G
184	1025	1024	1024	1024	1024	1022	1026	1024	1027	1025	119	119	119	119	119	122	120	122	120	122	G
185	1024	1028	1026	1025	1026	1026	1026	1026	1025	1024	119	117	119	122	119	118	120	122	121	118	G
186	1026	1022	1025	1023	1025	1024	1026	1026	1027	1023	117	118	119	121	121	118	120	122	121	119	G
187	1025	1026	1026	1026	1024	1022	1023	1022	1024	1020	119	119	119	122	121	119	122	122	119	118	G
188	1024	1025	1023	1028	1025	1024	1024	1023	1026	1020	118	117	119	121	120	122	121	122	119	119	G
189	1023	1028	1023	1024	1025	1024	1026	1025	1024	1022	118	117	121	122	120	122	121	121	121	121	G
190	1025	1024	1025	1026	1027	1026	1027	1027	1026	1024	117	119	121	120	120	119	122	121	119	120	G
191	1022	1023	1027	1025	1028	1023	1024	1024	1026	1024	117	118	121	120	121	122	121	122	120	119	G
192	1025	1022	1026	1022	1026	1026	1023	1027	1025	1025	117	117	121	119	119	120	121	121	120	121	G
193	1023	1028	1024	1022	1027	1025	1024	1024	1025	1023	117	119	120	118	121	119	120	121	121	120	G
194	1023	1028	1023	1024	1024	1027	1024	1028	1026	1022	119	117	120	120	119	121	120	122	119	120	G
195	1024	1023	1025	1024	1024	1027	1027	1027	1024	1021	118	117	120	122	121	120	120	121	120	119	G
196	1024	1026	1027	1022	1025	1022	1025	1025	1026	1026	117	118	120	120	121	122	122	122	119	121	G
197	1026	1023	1025	1025	1027	1026	1023	1024	1026	1023	117	119	121	122	121	122	122	122	119	119	G
198	1026	1022	1024	1025	1027	1022	1023	1027	1024	1024	118	119	119	118	121	120	121	122	120	121	G
199	1025	1022	1027	1028	1025	1024	1025	1025	1026	1023	118	119	121	121	119	118	120	121	119	121	G
200	1026	1024	1023	1024	1025	1026	1027	1023	1027	1020	117	119	119	119	119	122	120	122	120	121	G
201	1023	1024	1027	1022	1026	1023	1023	1023	1023	1024	118	117	121	119	119	119	121	122	121	118	G
202	1026	1027	1027	1024	1028	1027	1026	1022	1024	1026	119	117	119	118	119	121	121	121	119	118	G
203	1024	1024	1026	1023	1026	1023	1024	1027	1023	1020	119	119	120	118	119	118	121	122	120	119	G
204	1025	1028	1023	1024	1028	1024	1026	1023	1023	1021	118	118	119	119	119	119	122	121	121	118	G
205	1023	1027	1024	1022	1026	1022	1026	1028	1023	1021	119	119	121	119	121	118	122	122	119	121	G
206	1024	1026	1026	1025	1024	1028	1026	1024	1026	1021	117	117	121	119	121	120	121	121	121	119	G
207	1023	1024	1025	1026	1026	1023	1025	1024	1026	1021	118	119	119	118	119	120	120	121	119	120	G
208	1024	1027	1025	1024	1028	1025	1025	1024	1024	1023	117	119	120	119	120	120	120	122	119	121	G
209	1024	1025	1026	1024	1026	1025	1025	1024	1023	1026	119	117	121	122	121	120	122	122	120	121	G
210	1024	1024	1025	1025	1024	1022	1026	1024	1025	1026	117	117	120	122	120	121	122	122	121	122	G
211	1024	1026	1024	1022	1028	1026	1023	1026	1024	1024	119	118	121	118	121	121	121	122	120	121	G
212	1024	1024	1024	1022	1025	1024	1027	1025	1025	1023	119	118	119	118	121	121	122	122	119	122	G
213	1022	1027	1025	1023	1024	1026	1025	1022	1023	1023	117	119	120	118	121	122	121	121	121	120	G
214	1023	1023	1026	1024	1028	1024	1025	1027	1023	1024	118	119	120	122	121	122	121	122	119	120	G
215	1025	1027	1026	1027	1027	1024	1023	1025	1027	1023	117	117	120	118	121	119	120	121	121	122	G
216	1025	1027	1023	1027	1027	1024	1026	1025	1023	1026	118	118	120	121	119	121	120	121	120	120	G
217	1023	1024	1024	1023	1027	1025	1026	1028	1027	1024	119	118	120	120	119	118	120	122	120	119	G
218	1022	1024	1026	1026	1026	1026	1026	1024	1027	1026	117	118	119	118	119	119	122	122	120	120	G
219	1024	1024	1025	1022	1024	1024	1025	1027	1026	1026	117	118	119	122	119	118	120	121	121	118	G
220	1024	1024	1027	1025	1024	1026	1024	1023	1023	1023	117	118	121	121	121	119	122	122	119	120	G
221	1023	1026	1023	1022	1027	1026	1024	1028	1026	1022	118	118	119	120	121	120	121	121	121	119	G
222	1022	1025	1026	1026	1027	1027	1025	1028	1026	1022	119	117	119	122	121	119	122	122	120	122	G
223	1024	1027	1024	1024	1024	1023	1023	1023	1027	1020	117	117	119	118	120	122	122	122	121	119	G
224	1022	1027	1024	1023	1025	1028	1025	1026	1024	1023	119	119	120	119	119	119	121	122	121	121	G
225	1026	1026	1024	1026	1026	1028	1026	1022	1026	1021	117	117	119	122	120	119	120	121	119	120	G
226	1024	1028	1024	1025	1028	1023	1027	1027	1027	1024	118	117	120	118	119	121	122	121	121	121	G
227	1026	1028	1026	1026	1026	1023	1025	1027	1025	1025	118	119	120	121	121	119	120	122	120	119	G
228	1025	1027	1023	1023	1026	1027	1023	1023	1024	1025	118	117	120	119	119	122	120	121	119	122	G
229	1022	1025	1027	1025	1024	1028	1026	1022	1026	1025	117	117	120	122	121	119	120	122	119	122	G
230	1024	1022	1023	1025	1025	1025	1026	1028	1024	1026	119	118	120	118	119	122	122	122	120	121	G
231	1022	1026	1023	1028	1027	1027	1027	1023	1024	1023	117	119	120	118	119	119	120	121	119	121	G
232	1022	1025	1026	1025	1026	1025	1023	1026	1027	1023	117	119	119	121	121	118	122	122	119	118	G
233	1022	1027	1027	1023	1027	1028	1023	1028	1026	1025	119	118	121	121	119	119	121	122	119	118	G
234	1026	1028	1024	1022	1025	1024	1027	1025	1027	1024	119	119	119	121	120	120	122	121	120	118	G
235	1023	1026	1026	1024	1026	1022	1024	1025	1026	1021	117	117	119	121	119	119	120	121	120	122	G
236	1026	1022	1025	1025	1027	1022	1025	1026	1027	1021	117	119	121	119	121	121	121	122	121	119	G
237	1025	1027	1024	1028	1028	1024	1023	1024	1024	1023	117	117	120	121	121	120	121	122	121	119	G
238	1026	1027	1027	1022	1024	1025	1023	1023	1027	1020	118	117	119	118	121	121	122	122	119	122	G
239	1023	1026	1024	1025	1026	1025	1023	1028	1024	1026	118	118	119	121	121	122	121	121	121	122	G
240	1024	1025	1023	1026	1024	1027	1025	1024	1024	1026	117	118	121	121	120	122	121	122	120	122	G
241	1022	1028	1023	1025	1024	1027	1023	1027	1027	1026	118	118	120	121	120	118	122	122	120	118	G
242	1025	1024	1024	1023	1026	1025	1024	1027	1026	1021	118	118	119	122	119	120	120	121	121	120	G
243	1024	1028	1027	1028	1027	1028	1024	1028	1025	1023	118	117	120	122	121	119	120	122	120	119	G
244	1025	1023	1024	1028	1027	1023	1027	1028	1027	1021	119	118	119	122	120	121	122	121	121	122	G
245	1023	1028	1024	1028	1024	1026	1024	1028	1023	1022	118	118	120	122	121	121	121	122	121	119	G
246	1024	1025	1027	1022	1028	1025	1026	1023	1023	1020	117	117	120	120	119	120	120	122	120	119	G
247	1024	1028	1023	1025	1027	1023	1023	1028	1025	1020	118	117	119	122	121	121	120	122	121	118	G
248	1024	1026	1024	1025	1026	1027	1026	1026	1026	1026	117	117	121	122	121	122	122	121	119	120	G
249	1026	1026	1025	1024	1027	1023	1027	1023	1024	1024	118	118	120	121	119	121	120	122	119	122	G
250	1025	1022	1024	1022	1025	1028	1025	1027	1024	1020	117	117	119	118	120	121	122	122	121	118	G
251	1023	1027	1025	1024	1026	1022	1025	1026	1027	1024	118	119	120	122	121	119	122	121	120	118	G
252	1024	1027	1023	1028	1027	1024	1027	1028	1024	1024	119	119	120	120	119	121	121	121	121	118	G
253	1023	1023	1023	1025	1024	1022	1027	1025	1023	1022	119	118	119	121	121	120	121	121	121	121	G
