"LeadPetrol","RiverSea","RadioWaste","AirPollution","Chemicals","Nuclear"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"not very concerned","very concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","very concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","very concerned","slightly concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"not very concerned","very concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","very concerned","slightly concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","very concerned","very concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"not very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"not very concerned","very concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","very concerned","not very concerned"
"slightly concerned","slightly concerned","very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","very concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"very concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","slightly concerned","very concerned"
"slightly concerned","very concerned","slightly concerned","very concerned","very concerned","not very concerned"
"very concerned","very concerned","very concerned","very concerned","not very concerned","not very concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","not very concerned","very concerned","very concerned"
"slightly concerned","very concerned","very concerned","very concerned","slightly concerned","not very concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","not very concerned","very concerned","very concerned","not very concerned"
"very concerned","very concerned","not very concerned","very concerned","very concerned","not very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","very concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","very concerned","very concerned","slightly concerned"
"very concerned","slightly concerned","very concerned","very concerned","not very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"not very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"not very concerned","slightly concerned","very concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","very concerned","not very concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","very concerned","not very concerned"
"very concerned","very concerned","slightly concerned","very concerned","slightly concerned","not very concerned"
"very concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"slightly concerned","very concerned","not very concerned","very concerned","slightly concerned","very concerned"
"very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","very concerned","not very concerned"
"not very concerned","very concerned","slightly concerned","very concerned","slightly concerned","slightly concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","very concerned","slightly concerned","very concerned","not very concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","slightly concerned","very concerned","slightly concerned","not very concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","not very concerned","slightly concerned","slightly concerned","very concerned","slightly concerned"
"very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"slightly concerned","very concerned","very concerned","slightly concerned","not very concerned","not very concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","very concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","very concerned"
"very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"not very concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"very concerned","very concerned","slightly concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","very concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"very concerned","very concerned","not very concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"not very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","slightly concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned"
"very concerned","slightly concerned","not very concerned","slightly concerned","slightly concerned","not very concerned"
"slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","very concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","slightly concerned","slightly concerned","slightly concerned","not very concerned","not very concerned"
"not very concerned","not very concerned","slightly concerned","slightly concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"slightly concerned","slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned"
"very concerned","slightly concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"not very concerned","very concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"not very concerned","not very concerned","slightly concerned","not very concerned","slightly concerned","slightly concerned"
"slightly concerned","slightly concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"slightly concerned","not very concerned","slightly concerned","not very concerned","not very concerned","not very concerned"
"not very concerned","not very concerned","not very concerned","not very concerned","slightly concerned","not very concerned"
"not very concerned","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned"
"not very concerned","not very concerned","not very concerned","not very concerned","not very concerned","not very concerned"
